countryname,year,mcgarry_federal
Argentina,,1
Australia,,1
Austria,,1
Belgium,1993,1
Belgium,1994,1
Belgium,1995,1
Belgium,1996,1
Belgium,1997,1
Belgium,1998,1
Belgium,1999,1
Belgium,2000,1
Belgium,2001,1
Belgium,2002,1
Belgium,2003,1
Belgium,2004,1
Belgium,2005,1
Belgium,2006,1
Belgium,2007,1
Belgium,2008,1
Belgium,2009,1
Belgium,2010,1
Belgium,2011,1
Belgium,2012,1
Belgium,2013,1
Belgium,2014,1
Belgium,2015,1
Belgium,2016,1
Belgium,2017,1
Belgium,2018,1
Belgium,1992,0
Belgium,1991,0
Belgium,1990,0
Belgium,1989,0
Belgium,1988,0
Belgium,1987,0
Belgium,1986,0
Belgium,1985,0
Belgium,1984,0
Belgium,1983,0
Belgium,1982,0
Belgium,1981,0
Belgium,1980,0
Belgium,1979,0
Belgium,1978,0
Belgium,1977,0
Belgium,1976,0
Belgium,1975,0
Belgium,1974,0
Belgium,1973,0
Belgium,1972,0
Belgium,1971,0
Belgium,1970,0
Belgium,1969,0
Belgium,1968,0
Belgium,1967,0
Belgium,1966,0
Belgium,1965,0
Belgium,1964,0
Belgium,1963,0
Belgium,1962,0
Belgium,1961,0
Belgium,1960,0
Belgium,1959,0
Belgium,1958,0
Belgium,1957,0
Belgium,1956,0
Belgium,1955,0
Belgium,1954,0
Belgium,1953,0
Belgium,1952,0
Belgium,1951,0
Belgium,1950,0
Bosnia-Herzegovina,,1
Brazil,,1
Canada,,1
German Federal Republic,,1
India,,1
Malaysia,1963,1
Malaysia,1964,1
Malaysia,1965,1
Malaysia,1966,1
Malaysia,1967,1
Malaysia,1968,1
Malaysia,1969,1
Malaysia,1970,1
Malaysia,1971,1
Malaysia,1972,1
Malaysia,1973,1
Malaysia,1974,1
Malaysia,1975,1
Malaysia,1976,1
Malaysia,1977,1
Malaysia,1978,1
Malaysia,1979,1
Malaysia,1980,1
Malaysia,1981,1
Malaysia,1982,1
Malaysia,1983,1
Malaysia,1984,1
Malaysia,1985,1
Malaysia,1986,1
Malaysia,1987,1
Malaysia,1988,1
Malaysia,1989,1
Malaysia,1990,1
Malaysia,1991,1
Malaysia,1992,1
Malaysia,1993,1
Malaysia,1994,1
Malaysia,1995,1
Malaysia,1996,1
Malaysia,1997,1
Malaysia,1998,1
Malaysia,1999,1
Malaysia,2000,1
Malaysia,2001,1
Malaysia,2002,1
Malaysia,2003,1
Malaysia,2004,1
Malaysia,2005,1
Malaysia,2006,1
Malaysia,2007,1
Malaysia,2008,1
Malaysia,2009,1
Malaysia,2010,1
Malaysia,2011,1
Malaysia,2012,1
Malaysia,2013,1
Malaysia,2014,1
Malaysia,2015,1
Malaysia,2016,1
Malaysia,2017,1
Malaysia,2018,1
Malaysia,1962,0
Malaysia,1961,0
Malaysia,1960,0
Malaysia,1959,0
Malaysia,1958,0
Malaysia,1957,0
Malaysia,1956,0
Malaysia,1955,0
Malaysia,1954,0
Malaysia,1953,0
Malaysia,1952,0
Malaysia,1951,0
Malaysia,1950,0
Mexico,,1
Myanmar (Burma),,1
Nigeria,,1
Russia (Soviet Union),,1
South Africa,1996,1
South Africa,1997,1
South Africa,1998,1
South Africa,1999,1
South Africa,2000,1
South Africa,2001,1
South Africa,2002,1
South Africa,2003,1
South Africa,2004,1
South Africa,2005,1
South Africa,2006,1
South Africa,2007,1
South Africa,2008,1
South Africa,2009,1
South Africa,2010,1
South Africa,2011,1
South Africa,2012,1
South Africa,2013,1
South Africa,2014,1
South Africa,2015,1
South Africa,2016,1
South Africa,2017,1
South Africa,2018,1
South Africa,1995,0
South Africa,1994,0
South Africa,1993,0
South Africa,1992,0
South Africa,1991,0
South Africa,1990,0
South Africa,1989,0
South Africa,1988,0
South Africa,1987,0
South Africa,1986,0
South Africa,1985,0
South Africa,1984,0
South Africa,1983,0
South Africa,1982,0
South Africa,1981,0
South Africa,1980,0
South Africa,1979,0
South Africa,1978,0
South Africa,1977,0
South Africa,1976,0
South Africa,1975,0
South Africa,1974,0
South Africa,1973,0
South Africa,1972,0
South Africa,1971,0
South Africa,1970,0
South Africa,1969,0
South Africa,1968,0
South Africa,1967,0
South Africa,1966,0
South Africa,1965,0
South Africa,1964,0
South Africa,1963,0
South Africa,1962,0
South Africa,1961,0
South Africa,1960,0
South Africa,1959,0
South Africa,1958,0
South Africa,1957,0
South Africa,1956,0
South Africa,1955,0
South Africa,1954,0
South Africa,1953,0
South Africa,1952,0
South Africa,1951,0
South Africa,1950,0
Switzerland,,1
United States of America,,1
Venezuela,1960,1
Venezuela,1961,1
Venezuela,1962,1
Venezuela,1963,1
Venezuela,1964,1
Venezuela,1965,1
Venezuela,1966,1
Venezuela,1967,1
Venezuela,1968,1
Venezuela,1969,1
Venezuela,1970,1
Venezuela,1971,1
Venezuela,1972,1
Venezuela,1973,1
Venezuela,1974,1
Venezuela,1975,1
Venezuela,1976,1
Venezuela,1977,1
Venezuela,1978,1
Venezuela,1979,1
Venezuela,1980,1
Venezuela,1981,1
Venezuela,1982,1
Venezuela,1983,1
Venezuela,1984,1
Venezuela,1985,1
Venezuela,1986,1
Venezuela,1987,1
Venezuela,1988,1
Venezuela,1989,1
Venezuela,1990,1
Venezuela,1991,1
Venezuela,1992,1
Venezuela,1993,1
Venezuela,1994,1
Venezuela,1995,1
Venezuela,1996,1
Venezuela,1997,1
Venezuela,1998,1
Venezuela,1999,1
Venezuela,2000,1
Venezuela,2001,1
Venezuela,2002,1
Venezuela,2003,1
Venezuela,2004,1
Venezuela,2005,1
Venezuela,2006,1
Venezuela,2007,1
Venezuela,2008,1
Venezuela,2009,1
Venezuela,2010,1
Venezuela,2011,1
Venezuela,2012,1
Venezuela,2013,1
